Crop,SoilType,AnnualRainfall,AvgTemperature,Nitrogen,Phosphorus,Potassium,Yield
Corn,Loam,850,22,130,55,60,9.2
Wheat,Clay,600,18,90,40,30,3.1
Rice,Silt,1100,26,110,45,40,5.8
Soybean,Sandy,700,24,100,50,45,2.4
Cotton,Loam,650,28,120,60,50,1.5
Corn,Clay,900,20,140,50,55,7.8
Wheat,Loam,620,19,95,42,35,4.1
Rice,Clay,1050,25,105,48,38,4.9
Soybean,Loam,750,23,110,55,50,3.2
Cotton,Sandy,600,29,115,55,45,1.1
Corn,Silt,800,21,125,52,58,8.5
Wheat,Sandy,580,17,85,38,28,2.7
Rice,Loam,1150,27,115,50,42,6.1
Soybean,Clay,680,22,95,48,42,2.6
Cotton,Silt,700,30,125,65,55,1.4
Corn,Peat,950,23,135,58,62,8.9
Wheat,Silt,640,20,100,45,38,3.8
Rice,Sandy,1000,24,100,42,35,4.2
Soybean,Peat,720,25,105,52,48,2.9
Cotton,Clay,620,27,110,58,48,1.3
Corn,Loam,700,19,110,45,50,6.5
Wheat,Loam,550,16,80,35,25,2.9
Rice,Silt,1200,28,120,55,45,6.5
Soybean,Sandy,650,26,90,45,40,2.1
Cotton,Peat,750,31,130,70,60,1.6
Corn,Sandy,880,24,145,60,65,7.2
Wheat,Peat,610,18,92,41,32,3.3
Rice,Clay,1080,25,108,47,39,5.1
Soybean,Loam,780,23,112,56,51,3.4
Cotton,Loam,670,29,122,62,52,1.55
Corn,Clay,820,21,128,54,59,8.1
Wheat,Silt,630,19,98,44,36,3.6
Rice,Loam,1120,26,112,49,41,5.9
Soybean,Clay,690,21,98,49,43,2.7
Cotton,Sandy,610,28,118,57,47,1.2
